game_date,game_id,team,quarter,player,url,mp,fg,fga,fg3,fg3a,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus,fg_pct,ft_pct,fg3_pct
2024-10-25,202410250HOU,HOU,Q2,Tari Eason,https://www.basketball-reference.com/boxscores/202410250HOU.html,3.8,0,1,0,1,0,0,0,0,0,0,1,0,0,2,0,-0.5,-6,.000,,.000
2024-10-25,202410250HOU,HOU,Q2,Cam Whitmore,https://www.basketball-reference.com/boxscores/202410250HOU.html,5.15,1,3,0,1,0,0,0,0,0,0,0,0,1,1,2,-1.1,-9,.333,,.000
2024-10-25,202410250HOU,HOU,Q2,Reed Sheppard,https://www.basketball-reference.com/boxscores/202410250HOU.html,2.72,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,-1.4,-6,.000,,.000
2024-10-25,202410250HOU,HOU,Q2,Jock Landale,https://www.basketball-reference.com/boxscores/202410250HOU.html,3.32,0,0,0,0,0,0,1,2,3,0,0,0,0,0,0,1.3,-8,,,
2024-10-25,202410250HOU,HOU,Q3,Jabari Smith Jr.,https://www.basketball-reference.com/boxscores/202410250HOU.html,8.87,3,5,0,0,0,0,2,4,6,1,0,1,1,1,6,6.3,+15,.600,,
2024-10-25,202410250HOU,HOU,Q3,Jalen Green,https://www.basketball-reference.com/boxscores/202410250HOU.html,10.73,2,5,0,0,1,4,0,1,1,0,1,0,1,1,5,1.0,+19,.400,.250,
2024-10-25,202410250HOU,HOU,Q3,Alperen Şengün,https://www.basketball-reference.com/boxscores/202410250HOU.html,10.8,2,5,0,0,4,6,3,7,10,1,0,0,2,2,8,6.6,+17,.400,.667,
2024-10-25,202410250HOU,HOU,Q3,Dillon Brooks,https://www.basketball-reference.com/boxscores/202410250HOU.html,7.97,2,3,1,1,0,0,1,0,1,0,2,0,0,1,5,6.0,+11,.667,,1.000
2024-10-25,202410250HOU,HOU,Q3,Fred VanVleet,https://www.basketball-reference.com/boxscores/202410250HOU.html,3.1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,-0.4,+3,.000,,.000
2024-10-25,202410250HOU,HOU,Q3,Amen Thompson,https://www.basketball-reference.com/boxscores/202410250HOU.html,8.9,1,2,0,1,5,5,0,1,1,1,0,0,2,2,7,4.2,+18,.500,1.000,.000
